word1,count
improv,32
troupes,3
narrative,61
longform,1
festival,360
few,3256
slots,24
yer,29
deets,19
postcard,29
reminder,148
midtown,31
wine&,1
jazz,248
mixer,68
dec,123
kennedy,61
gallery,175
alison,14
mcghee,1
warming,72
lala,10
the's,377
and's,61
weather,980
uniforms,49
oregon,180
jessica,120
simpson,48
does,3104
realize,544
drew,157
lachey,1
elli,1
clarendon,3
swear,309
twin,125
bus,484
widd,2
andrea,46
brown,673
color,729
spell,160
e,1120
stat,60
int'l,21
students,1008
employed,57
interesting,1131
australian,77
ridiculous,207
dog's,22
momma,88
birth,263
icon,131
iconic,71
boyz,83
luv,197
madison,167
alamia,2
natl,8
patient,149
advocacy,29
honoring,24
ensure,129
receive,316
quality,459
comprehensive,32
curriculum,53
basic,248
workbooks,2
hits,260
tables,115
storytelling,44
lived,340
tale,103
befriends,3
bold,116
november,315
theouterspacemen,2
graphic,121
journey,297
metro,137
milwaukee,281
mls,30
stats,74
slow,445
july,442
buyers,36
minds,198
resume,129
discrition,1
exeriance,1
experties,1
ad,220
public,1062
system,711
tend,172
rider,31
elephant,66
past,1279
which,5504
sci,48
fi,76
letdown,11
declined,68
power,1056
influence,152
protect,215
fight,686
issue,608
fareed,3
zakaria,3
cnn,69
doomsday,5
arrives,64
baked,130
beans,178
worth,859
brick,82
gold,401
advice,450
qb,88
sf,195
ravens,58
fit,502
weekends,94
handjob,1
wanting,240
early,1450
gunshot,10
shit's,8
karma,70
inspiring,153
stories,601
fund,123
keyholder,1
erm,8
lying,177
messaging,32
gents,19
anymore,608
stressed,82
ff,235
homepage,16
playstub,1
frustrating,74
clinched,10
half,1485
yellow,318
road,834
aca,8
joked,24
anthony,155
thinks,346
beamers,5
theglassbar,1
clubs,71
hate,1919
assignment,63
saving,166
sip,52
rocking,152
riot,46
listing,74
jordans,14
assets,50
huh,283
flashcards,7
michael,380
leave,1376
study,453
da,431
water,1479
kim's,8
fairy,98
amy,125
kisses,82
kellie,4
paced,30
lifestyle,90
toll,47
health,766
appearance,128
americans,201
tbh,21
ez,17
extensions,22
wigs,14
wiggy,1
springs,87
include,414
manitou,1
referring,90
co,593
ku,24
greatest,370
players,503
guardian,44
training,554
veteran,42
quotes,133
stance,30
posture,14
reflect,103
morihei,1
ueshiba,1
seat,264
skips,15
beat,775
everybody,525
hoge,2
black,1586
hoodie,40
pack,371
dumb,305
shades,116
gots,24
tix,148
follower,211
resides,9
nc,129
voted,151
book,2837
plus,652
snuck,21
